X	logFC	FDR
NCU09267	4.08696698864354	3.52689995240094e-10
NCU04843	2.08871146124172	3.59326061349275e-10
NCU02787	2.95398930192792	3.64466045933543e-10
NCU02400	4.43617819356872	3.67056160342274e-10
NCU00573	2.63535856871987	3.86171940558398e-10
NCU05766	8.40869282217012	3.8637584251592e-10
NCU09904	7.08607622029335	3.93349933319167e-10
NCU00697	5.69903038766564	3.93349933319167e-10
NCU02188	6.69743264798807	3.94498338367119e-10
NCU16720	7.26392572224342	4.05674689312259e-10
NCU17271	8.13275700611385	4.06810096390154e-10
NCU01094	3.76472362569953	4.08049510607351e-10
NCU10282	2.30869014242719	4.21330511414524e-10
NCU02243	4.86121566135108	4.24504097586315e-10
NCU00695	4.0045880492302	4.28286697530545e-10
NCU04457	3.12568024616107	4.39129333201752e-10
NCU04732	3.79608366506623	4.39732813503715e-10
NCU02121	3.01833409837819	4.39740051194905e-10
stk-28	2.22154143888857	4.45695317675349e-10
NCU03578	3.14908136993265	4.52600118684607e-10
NCU05192	3.7021753317871	4.57981158579673e-10
NCU05030	8.20070634217233	4.57981158579673e-10
NCU02722	3.90027197818198	4.57981158579673e-10
NCU04049	3.96885867549772	4.58428219581503e-10
NCU05584	7.25759695352827	4.69259617238974e-10
NCU16314	3.03354211638254	4.95825877903997e-10
NCU05063	5.10343112218226	5.03021529155264e-10
NCU03728	3.85706205561985	5.05944493384237e-10
NCU08792	3.04720054234253	5.12681643706998e-10
NCU00430	3.02245909298799	5.14923295128596e-10
NCU07054	6.50008625393743	5.32156520239394e-10
NCU03889	3.2509290754461	5.35730144609959e-10
NCU06152	4.53014812132913	5.64509132910362e-10
NCU01673	4.44198675898611	6.14513067969189e-10
NCU09669	4.25517631537275	6.27043576911694e-10
NCU07883	4.09201098016047	6.36848664822617e-10
NCU01790	3.05970215941449	6.41123153677322e-10
msh4	3.9698517207425	6.42342442724858e-10
NCU09171	9.04140750353063	6.56219759254165e-10
NCU03477	5.20934746540386	6.62295752256691e-10
NCU06315	5.27710638610447	6.66741152465969e-10
NCU05411	3.86485123025366	6.79552784234601e-10
NCU02889	4.38426417539389	7.1409293419002e-10
mek-1	2.9917898586991	7.47811178088323e-10
NCU04282	3.88885184331407	7.57797215474657e-10
pex5	3.19077061246865	7.9058702728499e-10
NCU03599	5.31586140852156	8.00074328665813e-10
NCU01584	2.69107431571514	8.1889070813064e-10
NCU08658	2.58867771428269	8.1889070813064e-10
NCU06223	3.92978723484422	8.23300099882916e-10
NCU05152	3.99629121772928	8.36463012541655e-10
NCU10697	3.22605040659118	8.49731918577541e-10
NCU05763	8.71686193978365	8.55258295765567e-10
NCU16349	4.9867433538333	8.92614246797531e-10
NCU05990	3.73343040527031	9.20026874135224e-10
NCU00744	2.72599767133885	9.38217641381741e-10
NCU04521	3.16259961940719	9.38217641381741e-10
NCU10852	5.13441649971845	9.52389653149744e-10
ptk-2	3.26447291355019	9.56657736939098e-10
NCU09906	5.21836060921655	1.01475610507435e-09
NCU08153	5.93103772228621	1.02527003757245e-09
NCU08700	3.16305127117449	1.02578569317891e-09
NCU08469	3.65031466286572	1.03147381204791e-09
NCU09279	6.26049368497149	1.05112095648466e-09
NCU06759	2.26476567773863	1.10824304007348e-09
NCU09099	6.70358165980254	1.11378554850883e-09
stk-34	3.69322586702632	1.11630973992466e-09
NCU02856	5.9758290687425	1.13763140038977e-09
NCU05354	3.5413164941557	1.14186882174144e-09
NCU07121	5.96370075236665	1.14186882174144e-09
NCU09660	5.40249939265294	1.1434157694688e-09
NCU09637	3.21879683398565	1.17606533258004e-09
NCU07531	3.87106318478367	1.19224979347093e-09
NCU01560	4.36937754358224	1.19224979347093e-09
NCU07068	4.52690843564096	1.21077164084534e-09
trk	3.70445989715482	1.24456137005111e-09
NCU02051	4.20619380735164	1.27310863103263e-09
NCU04205	6.13193644540887	1.2759743666462e-09
NCU06056	3.7494646250275	1.32471799826661e-09
NCU03921	5.11897440218061	1.34806479048747e-09
NCU02972	2.65642611830098	1.35795829736342e-09
NCU07970	5.92003721030639	1.36292031865423e-09
NCU03567	2.7204546349322	1.37594988282596e-09
NCU07543	3.04450489412853	1.42080822589949e-09
NCU05010	2.95348679188181	1.43552868009173e-09
NCU09007	2.67877969493991	1.46220208942621e-09
NCU16591	4.45379176663833	1.51030686972276e-09
NCU04480	3.19848673071393	1.5589056680276e-09
dot	2.78339835165696	1.56138419191268e-09
NCU04661	4.19024684359892	1.59512698260027e-09
anx14	3.83139144497139	1.60657637743088e-09
NCU01509	2.80385006455239	1.64391907049605e-09
NCU09455	8.55801439087157	1.64533538148671e-09
NCU08288	2.87810779133508	1.64533538148671e-09
NCU17069	4.75019742502246	1.65413020462895e-09
NCU10107	6.17238459129717	1.73085018503354e-09
NCU12051	3.90791070735076	1.75555739473056e-09
NCU05149	4.23775261874927	1.75555739473056e-09
NCU00666	3.57864524233354	1.77164329494203e-09
app	6.25520002763127	1.80193000154851e-09
stk-44	6.0019998342099	1.80499464760319e-09
NCU16618	2.92609121203503	1.83788514096879e-09
NCU10070	4.5034615723331	1.85341712927146e-09
NCU00572	3.2654000132955	1.85341712927146e-09
NCU09860	2.74544043058279	1.85341712927146e-09
NCU00234	2.15213977164421	1.87485521065812e-09
NCU06389	2.90591747932502	1.91835091105344e-09
