X	logFC	FDR
NCU17066	3.36303876435252	1.77432832300451e-07
NCU07140	2.78628981312678	1.7815902493817e-07
NCU07095	4.89753272523372	1.80295433117756e-07
NCU09179	5.06841146756602	1.82783242957769e-07
NCU09181	3.65384408744288	1.83398008597718e-07
NCU04728	2.35756635399779	1.85650078135385e-07
NCU00986	3.02921684881155	1.86246029388015e-07
NCU04691	3.34204204096481	1.86590413621245e-07
NCU09593	3.89360753077794	1.88578959743891e-07
NCU05585	2.45103748102461	1.94520157845632e-07
NCU05990	2.52967890723172	1.99772758165307e-07
NCU06286	4.93830131585038	2.01779544104142e-07
NCU09596	2.27654294729452	2.07563949609103e-07
NCU08075	4.16246676845778	2.15778993088884e-07
NCU03531	4.4750157130925	2.16319243353852e-07
NCU03518	3.01304600040884	2.18062687139341e-07
NCU08776	2.13528509177687	2.18611656783904e-07
NCU16710	2.64400303361692	2.20091151993874e-07
NCU05187	3.24219495344805	2.23051036121527e-07
NCU03648	3.89221015224198	2.27651465263062e-07
NCU09886	2.21856661903762	2.3568032747379e-07
NCU00401	2.61100048318594	2.36637714205883e-07
NCU16928	6.54056266219311	2.42209821447083e-07
NCU16762	3.24985074176624	2.4253081700469e-07
NCU08753	5.62046852883672	2.4253081700469e-07
NCU05699	2.81516789410288	2.44539931927304e-07
NCU05897	6.53441241808746	2.44824741966513e-07
NCU03746	3.03436878354142	2.49169750529622e-07
NCU09605	3.3325858116243	2.53522125315052e-07
NCU03512	3.73067560702967	2.56138764172079e-07
NCU03803	2.69368736163331	2.59260035932853e-07
NCU16930	3.28776017018428	2.60046865188731e-07
NCU08179	2.34370683586418	2.61701297570674e-07
NCU04912	2.24734158099379	2.69475840140994e-07
NCU06936	2.59874964202228	2.70786961401341e-07
NCU08564	2.3110496881002	2.71076808652704e-07
NCU08821	2.40032952932653	2.73877602476081e-07
gh18-9	2.10683075238856	2.74771543832058e-07
NCU08763	2.11571749147173	2.82144864499262e-07
NCU00282	2.27972656250873	2.91715163201096e-07
NCU04046	2.48143076899826	3.01683089862165e-07
NCU05012	2.47114369933361	3.07240033867873e-07
NCU06153	3.08661810000397	3.11552356347164e-07
NCU09316	2.22661186840715	3.15416623165239e-07
NCU05462	4.10711367452758	3.17631968142535e-07
NCU08571	6.52706657965512	3.22292071366355e-07
NCU09214	2.652155478769	3.22292071366355e-07
NCU02062	2.82882080434202	3.316201137751e-07
gh47-5	2.61007265014525	3.316201137751e-07
NCU05728	3.83739848966638	3.34283433840772e-07
NCU01660	3.35987177034077	3.35498984173264e-07
NCU04627	2.56008720218901	3.36880207874524e-07
NCU05574	2.27778580667067	3.46226688139598e-07
NCU07252	2.52839709648168	3.48861513291633e-07
NCU09523	2.27750520783373	3.50768919608488e-07
NCU00338	2.19658191378771	3.51919537698047e-07
NCU08052	3.2124858659296	3.58340613961698e-07
NCU02653	3.73223726218493	3.73141707530802e-07
NCU07311	3.32474509820496	3.74825579521999e-07
NCU16591	2.96919058274892	3.74825579521999e-07
NCU01620	2.6851742732095	3.76271237837487e-07
NCU07258	2.06923746406854	3.93371244202742e-07
NCU02782	2.44358952018936	3.9564603895849e-07
NCU03762	3.1580799587109	4.00687408546945e-07
NCU04557	4.52928608412523	4.24976661299201e-07
NCU17205	2.84463964006919	4.49501783798269e-07
NCU08797	3.79061115974616	4.60368163896293e-07
NCU05136	2.77669799353039	4.79262985876009e-07
NCU09023	4.15475204290581	4.84198705118883e-07
NCU16929	4.39232810087015	4.96542499565598e-07
NCU16701	3.02629808932586	5.0004745010403e-07
NCU09335	3.06765911089526	5.06018111848206e-07
NCU07971	2.01302408340198	5.21529730107415e-07
NCU00695	2.41165200254256	5.23543497948656e-07
NCU09103	3.15346749839073	5.23543497948656e-07
NCU01355	2.68537689458446	5.25967764447758e-07
NCU08680	4.9996346794391	5.33348172896596e-07
NCU03689	3.53887801671058	5.37059299588101e-07
NCU01313	4.76578000372694	5.39745867282211e-07
NCU07149	4.40879907021674	5.46885829213708e-07
NCU00238	2.30084055945164	5.48143008553759e-07
msh1	2.07575515169549	5.56550090594881e-07
NCU10458	2.15997848372707	5.64202068957367e-07
NCU05043	2.95449872868303	5.69689745337592e-07
NCU00875	2.57172618438696	5.76800594643792e-07
NCU10641	3.2259805962211	5.7773969299758e-07
NCU16320	2.4789917732892	5.7773969299758e-07
stk-53	2.66700344125732	5.7773969299758e-07
NCU07949	2.17244314515288	5.7773969299758e-07
NCU07044	4.2768972508158	5.79862808980854e-07
NCU04401	2.06349462689235	5.82068643395843e-07
